Category,Complaint Description,Staff Assignment,Auto Priority,Auto Severity,text_length,word_count
Coach - Maintenance,The folding tray table is very broken and will not lock in place properly and keeps falling down making it useless for eating or working,Maintenance Staff,Low,Low,136,25
Medical Assistance,A diabetic patient needs insulin injection medicine immediately but there is no medical facility or first aid kit available in coach This happened during my recent journey.,Station Master,High,High,172,27
Staff Behaviour,The ticket collector was visibly drunk on duty and misbehaving with passengers using inappropriate language and stumbling while walking in aisle,Station Master,High,Critical,144,21
Medical Assistance,A child is having very severe breathing difficulty asthma attack and needs immediate medical attention oxygen and emergency medication now I am very disappointed with this.,Station Master,High,Critical,172,26
Bed Roll,The bedroll provided to me is visibly dirty and smells strongly of accumulated sweat from previous passengers and is completely unusable unhygienic,Housekeeping Staff,Medium,Medium,147,22
Unreserved Ticketing,I booked a ticket online but my name is not appearing on the passenger list chart which is causing problems during verification by TTE,TTE Staff,High,High,134,24
Corruption,The railway employee refused to perform duty responsibilities unless bribe was extremely paid which is very serious corruption and violation of service rules,Station Master,High,Critical,157,23
Electrical Equipment,The circuit breaker keeps tripping automatically every few minutes causing repeated power cuts and making journey very uncomfortable for everyone This needs urgent attention.,Maintenance Staff,High,High,174,24
Punctuality,The train changed route and I missed connection.,Station Master,Medium,Medium,48,8
Water Availability,The water tap is not working and causing problems.,Maintenance Staff,Medium,Medium,50,9
Passenger Amenities,There is no hand sanitizer or soap provided in the washroom for passengers to wash hands after using toilet which is unhygienic practice,Housekeeping Staff,Medium,Medium,136,23
Security,I feel unsafe because the coach lights have been deliberately tampered with and switched off making it completely dark inside during night,Maintenance Staff,High,High,138,22
Corruption,The luggage porter is demanding excessive money much more than prescribed rates and threatening passengers if they refuse to pay extra amount This needs urgent attention.,Station Master,Medium,Medium,170,26
Bed Roll,The bedsheet is very damp wet and smells of mildew fungus indicating it was extremely not properly dried before being packed and distributed to passengers,Housekeeping Staff,Medium,Medium,154,25
Catering,The pantry car staff attendant is extremely rude arrogant and not responding to our service calls despite repeated button presses I am very disappointed with this.,Catering Staff,Medium,Medium,163,26
Miscellaneous,Luggage policy rules are unclear and confusing on railway website for passengers making it difficult to understand what is allowed or prohibited,Station Master,Low,Low,144,22
Miscellaneous,GST tax issue on ticket amount as I was charged incorrect higher tax percentage than what is legally applicable according to government rules,Station Master,Low,Low,141,23
Unreserved Ticketing,The online booking website system crashed during payment and I was charged multiple times for single ticket without getting confirmation receipt,Station Master,High,High,144,21
Punctuality,The train stopped in the middle of nowhere for several hours without any explanation announcement leaving passengers confused and worried,Station Master,High,High,137,20
Medical Assistance,A passenger has suffered serious head injury bleeding from a fall and needs immediate first aid bandaging and medical treatment urgently,Station Master,High,Critical,136,21
Corruption,The contractor vendor staff is selling food items at inflated prices much higher than MRP and pocketing extra money as black income,Station Master,Medium,Medium,131,22
Unreserved Ticketing,The TTE is demanding extra money bribe to allot me the confirmed seat despite having valid confirmed ticket which is corruption and illegal,Station Master,High,Critical,139,23
Coach - Cleanliness,The toilet pan inside is stained brown and contaminated with hard water stains and looks extremely unhygienic for use by passengers,Housekeeping Staff,High,High,131,21
Catering,The pickle and chutney sachets provided are leaking and expired based on the manufacturing date printed on the small packaging label,Catering Staff,Medium,Medium,132,21
Staff Behaviour,The railway employee used extremely foul abusive language with elderly passengers who asked for help with luggage at the station platform,Station Master,High,High,137,21
Passenger Amenities,The luggage rack is malfunctioning sagging and cannot hold weight of bags safely as it might collapse anytime causing injury or damage,Maintenance Staff,High,High,134,22
Electrical Equipment,The fan in the coach is not working and very uncomfortable.,Maintenance Staff,High,Critical,59,11
Medical Assistance,A traveler needs medicine immediately to provide relief.,Station Master,High,Critical,56,8
Staff Behaviour,The attendant refused to provide any assistance when called repeatedly despite seeing me struggling with heavy luggage and needing help,TTE Staff,Medium,Medium,135,20
Passenger Amenities,There is no mirror provided in the coach area and passengers cannot check their appearance or groom themselves properly during journey,TTE Staff,Low,Low,134,21
Security,Continuous harassment is being done by a group of young boys in the coach passing vulgar comments and touching female passengers inappropriately,RPF Security,High,Critical,144,22
Electrical Equipment,The power backup supply system has completely failed and there is no electricity in the coach even though train is moving normally,Maintenance Staff,High,Critical,130,22
Bed Roll,The bedding material quality is extremely poor cheap and does not feel clean or comfortable to use for sleeping purposes during journey,Housekeeping Staff,Low,Low,135,22
Medical Assistance,An elderly passenger is lying unconscious and completely unresponsive and we need immediate medical attention to check vitals and provide care,Station Master,High,Critical,142,21
Unreserved Ticketing,I booked a ticket online but my name is not appearing on the passenger list chart which is causing problems during verification by TTE This happened during my recent journey.,TTE Staff,High,High,174,30
Coach - Cleanliness,The blanket provided smells strongly of urine and sweat and is visibly dirty stained and completely unusable for covering ourselves I am very disappointed with this.,Housekeeping Staff,Medium,Medium,165,26
Coach - Cleanliness,I found garbage in the floor which is very bad and needs sanitization.,Housekeeping Staff,Medium,Medium,70,13
Coach - Cleanliness,The seat is covered with oil marks making it impossible to use.,Housekeeping Staff,High,High,63,12
Punctuality,The train route was suddenly changed diverted without informing passengers in advance causing confusion and making people miss connections,Station Master,High,High,138,19
Water Availability,The water filter purification system appears to be broken and the water coming out looks muddy brown and contaminated with particles,Maintenance Staff,High,High,132,21
Water Availability,There is no water available in the washroom for the entire journey.,Maintenance Staff,High,High,67,12
Coach - Cleanliness,The curtains are covered in thick dust particles that trigger severe allergies and breathing problems for passengers sitting near the window,Housekeeping Staff,Low,Low,140,21
Staff Behaviour,The maintenance staff is not responding at all to urgent critical repair requests despite multiple complaints about defective facilities in coach,Maintenance Staff,High,High,145,21
Security,There are suspicious activities going on in the pantry car area with unauthorized people entering and staff looking nervous scared,RPF Security,Medium,High,130,20
Catering,Food quality is terrible and the food tastes rotten.,Catering Staff,Medium,Medium,52,9
Coach - Cleanliness,The mirror in the washroom is covered in thick grime oil and water stains and cannot be used for looking at oneself,Housekeeping Staff,Low,Low,115,22
Corruption,The issue demanded issue for issue.,Station Master,Medium,Medium,35,6
Medical Assistance,There is no first aid medical kit box available in the coach during this medical emergency which could help provide basic immediate treatment,Station Master,High,High,141,23
Security,Someone is openly smoking ganja marijuana cannabis inside the toilet and the strong stench is spreading throughout entire coach making others uncomfortable,RPF Security,High,High,155,22
Security,Unauthorized beggars are gambling in the coach creating nuisance.,RPF Security,High,Critical,65,9
Bed Roll,The mattress provided is extremely thin and uncomfortable to sleep on providing no cushioning or support for back and body during night I am very disappointed with this.,Maintenance Staff,Low,Low,169,28
Catering,The sandwich bread is stale moldy and has green fungus spots growing on it indicating it was stored for many days without refrigeration,Catering Staff,High,Critical,135,23
Staff Behaviour,The ticket collector was visibly drunk on duty and misbehaving with passengers using inappropriate language and stumbling while walking in aisle I am very disappointed with this.,Station Master,High,Critical,178,27
Bed Roll,The pillow cover has visible dark stains marks and appears unwashed with hair strands stuck on it from previous users which is disgusting,Housekeeping Staff,Medium,Medium,137,23
Staff Behaviour,The issue was issue when I issue.,Maintenance Staff,High,High,33,7
Catering,The food tray and plates are dirty unwashed and have leftover food stuck on them from previous passengers who used them before,Catering Staff,High,High,126,22
Medical Assistance,A passenger is unwell and needs immediate medical attention.,Station Master,High,Critical,60,9
Security,There is no police present in the coach for passenger protection.,RPF Security,High,High,65,11
Water Availability,The water coming out has a very foul smell and appears dirty contaminated and unfit for drinking or washing purposes definitely I am very disappointed with this.,Maintenance Staff,High,Critical,161,27
Unreserved Ticketing,The ticket booking counter staff is extremely slow inefficient and taking very long time to issue tickets causing passengers to miss trains,Station Master,Medium,Medium,139,22
Water Availability,The water tap handle is stuck jammed and cannot be opened or closed at all by passengers needing to use water facilities,Maintenance Staff,Medium,Medium,120,22
Bed Roll,The issue provided is issue and issue.,Housekeeping Staff,Medium,Medium,38,7
Miscellaneous,Wrong announcement was made at station about train arrival time platform causing passengers to miss the train and face significant inconvenience This needs urgent attention.,Station Master,Medium,Medium,173,25
Punctuality,The train completely skipped my scheduled station without stopping and I missed my destination forcing me to travel ahead unnecessarily,Station Master,High,Critical,135,20
Security,I feel threatened uncomfortable because a man is continuously staring at me aggressively without blinking throughout the entire train journey,RPF Security,Medium,High,141,20
Passengers Behaviour,People are deliberately blocking the doorway entrance with their heavy luggage preventing others from passing through easily and causing obstruction,TTE Staff,Medium,Medium,148,20
Medical Assistance,A passenger is having epileptic seizure fit and needs immediate medical help intervention to prevent injury and provide proper care during episode This needs urgent attention.,Station Master,High,Critical,175,26
Corruption,The railway staff demanded bribe money for providing basic services that should be free and refused to help without payment which is corruption,Station Master,High,Critical,143,23
Passengers Behaviour,Someone is snoring extremely loudly at night and disturbing everyone's sleep in the entire bay area making it impossible to rest properly,TTE Staff,Low,Low,137,22
Bed Roll,No issue was given even after issue.,TTE Staff,High,High,36,7
Staff Behaviour,The railway staff is not helping passengers with genuine queries and problems and behaving very unprofessionally and carelessly on duty I am very disappointed with this.,Station Master,Medium,Medium,169,26
Corruption,The ticket checker asked for money under table to upgrade my seat class without proper ticket which is illegal corruption and should be reported I am very disappointed with this.,Station Master,High,Critical,178,30
Water Availability,Water is continuously leaking from the ceiling pipes onto the berths below soaking bedding and making it impossible to sleep comfortably I am very disappointed with this.,Maintenance Staff,High,Critical,170,27
Passenger Amenities,The mobile charging point does not work at all and I cannot charge my phone which is essential for emergency communication during travel,Maintenance Staff,Low,Low,136,23
Punctuality,The train departed from station much earlier than scheduled time and I missed catching it despite reaching platform 10 minutes before departure,Station Master,High,High,143,22
Electrical Equipment,The lights in the entire coach compartment are not working at all and it is completely pitch dark making it impossible to see anything,Maintenance Staff,High,Critical,134,24
Punctuality,The train completely skipped my scheduled station without stopping and I missed my destination forcing me to travel ahead unnecessarily I am very disappointed with this.,Station Master,High,Critical,169,26
Passengers Behaviour,Someone stole my shoes sandals while I was sleeping comfortably at night and I woke up to find them completely missing from under seat I am very disappointed with this.,RPF Security,Medium,High,168,30
Miscellaneous,The mobile app showed completely wrong PNR status information to me causing confusion about my actual ticket confirmation status before journey,Station Master,Low,Low,143,21
Miscellaneous,Mobile cellular network connectivity issue on this route is extremely bad with no signal making it impossible to make emergency calls for help,Station Master,Low,Low,142,23
Catering,The catering staff refuses to accept UPI digital payment and demands only cash creating inconvenience for passengers without physical currency This happened during my recent journey.,Catering Staff,Low,Low,182,26
Passengers Behaviour,Passengers are playing cards and gambling loudly in the bay area shouting and creating disturbance for other travelers around them,TTE Staff,Medium,Medium,130,20
Punctuality,The train is moving at extremely slow crawling speed for many hours now without any explanation causing major delay in reaching destination I am very disappointed with this.,Station Master,Medium,Medium,173,28
Staff Behaviour,Railway staff is issue and not issue.,Maintenance Staff,High,High,37,7
Security,My luggage was taken from coach while I was sleeping.,RPF Security,Medium,Medium,53,10
Coach - Cleanliness,There is a thick layer of accumulated dust on the overhead luggage rack area that is soiling and dirtying all our bags,Housekeeping Staff,Medium,Low,118,22
Security,A man is verbally abusing me using foul language and threatening to physically hit me if I don't vacate my confirmed seat,RPF Security,High,High,121,22
Passenger Amenities,There is no hand sanitizer or soap provided in the washroom for passengers to wash hands after using toilet which is unhygienic practice,Housekeeping Staff,Medium,Medium,136,23
Medical Assistance,A passenger needs medicine immediately to prevent complications.,Station Master,High,Critical,64,8
Electrical Equipment,The electrical wiring is dangerously exposed hanging from the ceiling creating serious risk of electric shock and needs immediate repair I am very disappointed with this.,Maintenance Staff,High,Critical,170,26
Coach - Cleanliness,The commode toilet seat is extremely dirty with brown and yellow stains all over and is completely unusable for anyone traveling,Housekeeping Staff,High,High,128,21
Passenger Amenities,The toilet tissue paper holder is empty and no paper is provided forcing passengers to use alternative uncomfortable unhygienic methods This needs urgent attention.,Housekeeping Staff,Low,Low,164,24
Passenger Amenities,There is no mirror provided in the coach area and passengers cannot check their appearance or groom themselves properly during journey This happened during my recent journey.,TTE Staff,Low,Low,174,27
Staff Behaviour,Staff member issue despite issue.,Station Master,High,High,33,5
Passenger Amenities,There is no proper dustbin waste container provided in our bay area and passengers have nowhere to dispose garbage properly creating mess,TTE Staff,Low,Low,137,22
Coach - Cleanliness,Thick dust particles are continuously falling from the ceiling fan blades onto the passengers sleeping and sitting below causing respiratory issues,Housekeeping Staff,Medium,Medium,147,21
Coach - Cleanliness,The washroom in coach D4 is very dirty and causes discomfort.,Housekeeping Staff,Medium,Medium,61,11
Coach - Maintenance,My seat is physically broken and the cushion padding is torn exposing sharp metal springs underneath which could cause injury to passengers,Maintenance Staff,High,High,139,22
Miscellaneous,Mobile cellular network connectivity issue on this route is extremely bad with no signal making it impossible to make emergency calls for help This happened during my recent journey.,Station Master,Low,Low,182,29
Passengers Behaviour,A co-passenger is continuously coughing very badly without covering their mouth properly spreading germs and making others sick and uncomfortable,TTE Staff,Low,Low,145,20
Coach - Cleanliness,There are cockroaches in the coach washroom causing disturbance to passengers.,Housekeeping Staff,High,High,78,11
Electrical Equipment,The fan is sparking and needs fixing.,Maintenance Staff,High,High,37,7
Security,My backpack zip was carefully opened and my expensive camera equipment was stolen while I briefly went to use the washroom washroom,RPF Security,High,Critical,131,22
Passenger Amenities,There is no issue provided in the issue.,TTE Staff,Low,Low,40,8
Catering,I was charged double price for snack which is wrong.,Catering Staff,High,High,52,10
Staff Behaviour,The housekeeping cleaning staff rudely refused to clean the toilet when requested politely multiple times despite it being their primary duty,Housekeeping Staff,Medium,Medium,141,21
Coach - Cleanliness,The washbasin tap faucet is covered in fungal growth and green algae buildup and desperately needs thorough cleaning and scrubbing,Housekeeping Staff,Medium,Medium,130,20
Catering,The pantry staff took advance payment but failed to deliver the ordered refreshment items within reasonable time and is now not responding to queries,Catering Staff,High,High,149,24
Passengers Behaviour,Someone is occupying my confirmed reserved seat and rudely refusing to move despite showing my valid ticket and requesting politely multiple times,TTE Staff,High,High,146,22
Coach - Cleanliness,The washbasin sink area is covered with red pan masala spit marks and betel nut stains that look disgusting and unhygienic,Housekeeping Staff,High,High,122,21
Miscellaneous,Luggage policy rules are unclear and confusing on railway website for passengers making it difficult to understand what is allowed or prohibited,Station Master,Low,Low,144,22
Punctuality,The train departed early and I got delayed.,Station Master,Medium,Medium,43,8
Passenger Amenities,I am reporting that the coat hook hanger is broken missing and there is nowhere to hang clothes bags or jackets properly in the compartment space,Maintenance Staff,Low,Low,145,26
Corruption,The railway employee demanded bribe payment to process my legitimate complaint and refused to register it without paying money which is corruption,Station Master,High,Critical,146,22
Coach - Cleanliness,Pest control is needed urgently in this compartment as there are bugs cockroaches and other insects crawling on the seats and berths,Housekeeping Staff,High,High,132,22
Unreserved Ticketing,The online booking website system crashed during payment and I was charged multiple times for single ticket without getting confirmation receipt This happened during my recent journey.,Station Master,High,High,184,27
Unreserved Ticketing,I booked a ticket online but my name is not appearing on the passenger list chart which is causing problems during verification by TTE,TTE Staff,High,High,134,24
Water Availability,The water filter purification system appears to be broken and the water coming out looks muddy brown and contaminated with particles,Maintenance Staff,High,High,132,21
Security,A stranger man is insisting on sitting next to me touching me and absolutely refusing to leave despite my repeated objections requests,RPF Security,High,High,134,22
Electrical Equipment,There is no electricity in the my berth making it uncomfortable.,Maintenance Staff,Low,Low,64,11
Electrical Equipment,The charging point electrical socket near my seat is not working at all and I cannot charge my mobile phone laptop or any devices This happened during my recent journey.,Maintenance Staff,Low,Low,169,30
Electrical Equipment,The fan in the coach is faulty and very uncomfortable.,Maintenance Staff,High,High,54,10
Corruption,The cleaning contractor is not paying proper wages to housekeeping staff and keeping majority of payment as commission which is exploitation,Station Master,Medium,Medium,140,21
Passenger Amenities,I am reporting that the toilet tissue paper holder is empty and no paper is provided forcing passengers to use alternative uncomfortable unhygienic methods,Housekeeping Staff,Low,Low,155,24
Unreserved Ticketing,Refund was issue despite issue.,TTE Staff,High,High,31,5
Corruption,The cleaning contractor is not paying proper wages to housekeeping staff and keeping majority of payment as commission which is exploitation This happened during my recent journey.,Station Master,Medium,Medium,180,27
Water Availability,Water supply is dirty and appears unclear.,Maintenance Staff,High,Critical,42,7
Coach - Maintenance,The seat cushion padding is completely worn out flat and very uncomfortable causing back pain and discomfort during long journey hours,Maintenance Staff,Medium,Medium,134,21
Security,People traveling without valid tickets are aggressively threatening us verbally for our reserved confirmed seats and refusing to move away quietly,TTE Staff,High,High,146,21
Security,Someone is aggressively banging on the locked door and shouting threatening words outside our compartment making us feel terrorized and scared,RPF Security,Medium,High,142,21
Punctuality,The train is running over 5 hours late behind schedule without any announcement explanation or information given to waiting passengers about delay,Station Master,High,High,146,22
Coach - Cleanliness,The washroom in coach A1 is unclean and is unusable.,Housekeeping Staff,High,High,52,10
Catering,The food contains plastic and is contaminated.,Catering Staff,High,Critical,46,7
Unreserved Ticketing,I am reporting that the online booking website system crashed during payment and i was charged multiple times for single ticket without getting confirmation receipt,Station Master,High,High,164,25
Water Availability,Water is very slow from the tap making it impossible.,Maintenance Staff,High,High,53,10
Corruption,Railway employee issue which is issue.,Station Master,High,Critical,38,6
Passenger Amenities,The luggage rack is not working sagging and cannot hold weight of bags safely as it might collapse anytime causing injury or damage,Maintenance Staff,High,High,131,23
Corruption,The contractor vendor staff is selling food items at inflated prices much higher than MRP and pocketing extra money as black income,Station Master,Medium,Medium,131,22
Passengers Behaviour,A passenger is continuously using abusive vulgar foul language loudly while talking on phone and disturbing families with children nearby,TTE Staff,Medium,Medium,137,20
Water Availability,The drinking water dispenser machine does not work functioning in this coach and passengers have no access to clean drinking water,Maintenance Staff,High,High,130,21
Staff Behaviour,The attendant refused to provide any assistance when called repeatedly despite seeing me struggling with heavy luggage and needing help This happened during my recent journey.,TTE Staff,Medium,Medium,175,26
Punctuality,"Due to technical issues, the journey is delayed by too long.",Station Master,High,High,60,11
Corruption,The railway staff is giving preferential treatment to certain passengers who pay extra money which is discrimination and corruption against honest passengers I am very disappointed with this.,Station Master,High,High,191,28
Passengers Behaviour,Someone is watching a movie on their phone without using headphones at full high volume disturbing everyone trying to sleep rest,TTE Staff,Low,Low,128,21
Unreserved Ticketing,The TTE is demanding extra money bribe to allot me the confirmed seat despite having valid confirmed ticket which is corruption and illegal,Station Master,High,Critical,139,23
Staff Behaviour,The railway employee used extremely foul abusive language with elderly passengers who asked for help with luggage at the station platform This happened during my recent journey.,Station Master,High,High,177,27
Electrical Equipment,The ceiling fan in the coach is not working at all and it is extremely hot stuffy inside making it highly uncomfortable for passengers,Maintenance Staff,High,High,134,24
Electrical Equipment,The emergency backup light is not functional in this coach which could be dangerous in case of power failure or emergency evacuation,Maintenance Staff,Medium,High,132,22
Miscellaneous,Confusion regarding coach position display on platform board as actual coach location was completely different from what was shown on indicator,Station Master,Medium,Medium,143,21
Coach - Cleanliness,The coach entrance doorway area is completely blocked by multiple sacks full of garbage bags preventing passengers from entering or exiting,Housekeeping Staff,High,High,139,21
Passengers Behaviour,A passenger is putting their dirty feet on my seat and dirtying it despite me asking them politely to remove and sit properly,TTE Staff,Low,Low,125,23
Catering,The food served by the catering staff is completely stale cold and has a very bad foul smell indicating it was cooked days ago,Catering Staff,High,High,126,24
Punctuality,The emergency brakes were applied very suddenly causing many passengers to fall and some suffered injuries due to unexpected stop This happened during my recent journey.,Station Master,High,Critical,169,26
Security,Someone threw a heavy stone at the train window from outside and broke the glass creating dangerous sharp pieces everywhere inside coach,Maintenance Staff,High,Critical,136,22
Staff Behaviour,The ticket checker TTE demanded a bribe money for allotting me a seat despite having valid ticket which is corruption and should be reported,Station Master,High,Critical,140,24
Punctuality,The train stopped in the middle of nowhere for several hours without any explanation announcement leaving passengers confused and worried I am very disappointed with this.,Station Master,High,High,171,26
Miscellaneous,I faced issue during issue.,Station Master,Medium,Medium,27,5
Corruption,The TTE is allowing ticketless passengers to travel by taking bribe money from them instead of taking proper action as per railway rules,Station Master,High,Critical,136,23
Bed Roll,The bedroll was not delivered at all even after multiple requests to TTE and attendant staff despite having paid full amount during booking,TTE Staff,High,High,139,23
Punctuality,I am reporting that the train route was suddenly changed diverted without informing passengers in advance causing confusion and making people miss connections,Station Master,High,High,158,23
Coach - Cleanliness,The vestibule connecting area smells exactly like a public urinal and is absolutely disgusting to pass through while moving between coaches,Housekeeping Staff,High,High,139,21
Bed Roll,The bedroll delivered to me is incomplete and missing several items like pillow towel that should have been included in the standard set This needs urgent attention.,TTE Staff,Medium,Medium,165,27
Catering,The catering pantry crew member is aggressively forcing passengers to buy food items and not taking no for an answer politely,Catering Staff,Medium,Medium,125,21
Coach - Cleanliness,The wall is covered with dust making it uncomfortable to use.,Housekeeping Staff,High,High,61,11
Bed Roll,The blanket provided is torn has multiple holes in the fabric and is falling apart making it useless for warmth during cold night,Housekeeping Staff,Low,Low,129,23
Passengers Behaviour,Co-passengers are playing extremely loud music on bluetooth speakers and disturbing everyone trying to sleep rest or work during journey,TTE Staff,Medium,Medium,136,20
Coach - Cleanliness,The whole coach compartment needs deep thorough cleaning immediately with strong disinfectant and sanitizer to make it habitable and safe,Housekeeping Staff,High,High,137,20
Unreserved Ticketing,The reservation chart is not displayed on the coach board making it impossible for passengers to locate their seats and causing confusion chaos I am very disappointed with this.,TTE Staff,Medium,Medium,177,29
Bed Roll,The bedsheet is damp wet and smells of mildew fungus indicating it was not properly dried before being packed and distributed to passengers,Housekeeping Staff,Medium,Medium,139,23
Corruption,The pantry staff is not issuing proper bills for food purchased and taking cash payments without recording them for tax evasion purposes I am very disappointed with this.,Station Master,Medium,Medium,170,28
Passenger Amenities,Amenity issue is issue making issue.,TTE Staff,Low,Low,36,6
Passengers Behaviour,Passengers are issue against railway rules creating issue.,TTE Staff,Low,Low,58,8
Catering,The food items are not fresh and taste like they were prepared yesterday or the day before and reheated multiple times improperly I am very disappointed with this.,Catering Staff,High,High,163,28
Coach - Maintenance,I am reporting that the window glass pane is broken completely shattered with sharp pieces exposed creating serious injury risk for passengers sitting nearby touching it,Maintenance Staff,High,Critical,169,26
Passenger Amenities,There is no proper dustbin waste container provided in our bay area and passengers have nowhere to dispose garbage properly creating mess,TTE Staff,Low,Low,137,22
Bed Roll,The issue provided is issue and issue.,Housekeeping Staff,Medium,Medium,38,7
Miscellaneous,There was issue which resulted in issue.,Station Master,High,High,40,7
Coach - Cleanliness,Chewing gum is stuck firmly on the seat cover fabric and it has completely ruined and stained my expensive trousers permanently,Housekeeping Staff,Medium,Medium,127,21
Passengers Behaviour,Someone is very talking very loudly on phone late at night and continuously disturbing sleep of all other passengers in the compartment,TTE Staff,Low,Low,135,22
Passengers Behaviour,Passengers are deliberately damaging railway property by tearing the seat covers and scratching walls with sharp objects creating vandalism,TTE Staff,High,High,139,19
Electrical Equipment,The charging point electrical socket near my seat is not working at all and I cannot charge my mobile phone laptop or any devices,Maintenance Staff,Low,Low,129,24
Unreserved Ticketing,I was charged full fare for a confirmed ticket but received a waitlisted ticket status which is completely wrong and unfair to passengers,Station Master,High,High,137,23
Unreserved Ticketing,The ticket booking counter staff is extremely slow inefficient and taking very long time to issue tickets causing passengers to miss trains,Station Master,Medium,Medium,139,22
Bed Roll,The bedroll provided to me is very visibly dirty and smells strongly of accumulated sweat from previous passengers and is very completely unusable unhygienic,Housekeeping Staff,Medium,Medium,157,24
Electrical Equipment,The AC unit is broken and needs replacement.,Maintenance Staff,High,Critical,44,8
Staff Behaviour,The catering pantry staff spoke extremely abusively rudely when I complained about poor food quality and refused to address my genuine concern,Catering Staff,Medium,Medium,142,22
Coach - Cleanliness,The seat upholstery fabric is heavily stained with curry gravy and food marks from previous passengers and looks disgusting to sit on I am very disappointed with this.,Housekeeping Staff,Medium,Medium,167,28
Catering,The food menu items listed on the catering card are not available and staff says they ran out of stock hours ago,Catering Staff,Low,Low,112,22
Coach - Cleanliness,The seat has not been cleaned properly and there is trash everywhere.,Housekeeping Staff,High,Critical,69,12
Medical Assistance,There is no doctor available in the coach during critical time.,Station Master,High,Critical,63,11
Staff Behaviour,The attendant refused to provide any assistance when called repeatedly despite seeing me struggling with heavy luggage and needing assistance,TTE Staff,Medium,Medium,141,20
Coach - Cleanliness,Sanitation hygiene standards are extremely poor in this train compartment and it poses serious health risks and is unsafe for passengers,Housekeeping Staff,High,Critical,136,21
Passenger Amenities,The coat hook hanger is broken missing and there is nowhere to hang clothes bags or jackets properly in the compartment space,Maintenance Staff,Low,Low,125,22
Miscellaneous,Platform was suddenly changed at the very last minute without proper announcement causing panic confusion and passengers running with heavy luggage,Station Master,High,High,147,21
Coach - Maintenance,The automatic door sensor is malfunctioning not working and the door is not opening at all making it difficult to enter or exit,Maintenance Staff,High,High,127,23
Security,The lock on my suitcase luggage was forcefully broken by someone trying to steal contents and the bag was partially opened when discovered,RPF Security,High,High,138,23
Miscellaneous,There is an issue with issue that needs issue.,Station Master,Medium,Medium,46,9
Corruption,I am reporting that the ticket checker asked for money under table to upgrade my seat class without proper ticket which is illegal corruption and should be reported,Station Master,High,Critical,164,28
Security,There is panic and chaos due to a violent physical fight happening in the coach right now between multiple passengers punching each other,RPF Security,High,Critical,137,23
Catering,The vegetarian food contains visible pieces of chicken meat indicating serious contamination and lack of proper kitchen hygiene protocols being followed,Catering Staff,High,Critical,152,21
Unreserved Ticketing,My confirmed reserved ticket status was suddenly changed to RAC without any notification information or explanation from railway authorities before journey,TTE Staff,High,High,155,21
Medical Assistance,A passenger has suffered serious head injury bleeding from a fall and needs immediate first aid bandaging and medical treatment urgently,Station Master,High,Critical,136,21
Passenger Amenities,There is no mirror provided in the coach area and passengers cannot check their appearance or groom themselves properly during journey,TTE Staff,Low,Low,134,21
Coach - Cleanliness,There is a pile of used disposable tea cups and food plates lying abandoned in the corner of the coach for hours This needs urgent attention.,Housekeeping Staff,Medium,Low,141,26
Passenger Amenities,There is no issue provided in the issue.,TTE Staff,Low,Low,40,8
